"","id","Staande.lengte","Zittende.lengte","Lengte.bovenlichaam","Gewicht","Maturity.Offset","Balance.Beam.6cm","Balance.Beam.4.5cm","Balance.Beam.3cm","Balance.beam.totaal","Zijwaarts.springen.1","Zijwaarts.springen.2","Zijwaarts.springen.totaal","Zijwaarts.verplaatsen.1","Zijwaarts.verplaatsen.2","Zijwaarts.verplaatsen.totaal","Oog.hand.coordinatie.1","Oog.hand.coordinatie.2","Oog.hand.coordinatie.Totaal","X10.meter.sprint.1","X10.meter.sprint.2","X10.meter.sprint.beste","X20.meter.sprint.1","X20.meter.sprint.2","X20.meter.sprint.beste","X30.meter.sprint.1","X30.meter.sprint.2","X30.meter.sprint.beste","CoD.links.1","CoD.links.2","CoD.links.beste","CoD.rechts.1","CoD.rechts.2","CoD.rechts.beste","Vertesprong.1","Vertesprong.2","Vertesprong.beste","team_id","reeks_id","team_naam","geboortedatum"
"537",241,152.2,123.3,78.3,34.3,NA,24,24,11,59,50,48,98,28,32,60,NA,NA,NA,2.12,2.02,2.02,3.63,3.5,3.5,5.05,4.91,4.91,8.47,8.43,8.43,8.74,8.77,8.74,1.62,1.77,1.77,1,1,"Onder 13","2009-01"
"538",242,157.8,124.5,79.5,39.2,NA,19,21,16,56,50,48,98,29,26,55,32,33,65,2.02,2.01,2.01,3.61,3.59,3.59,5.11,5.07,5.07,8.75,8.7,8.7,8.67,8.48,8.48,1.69,1.77,1.77,1,1,"Onder 13","2009-01"
"539",1615,168.1,122.6,82.7,56.9,NA,24,24,9,57,58,56,114,31,34,65,28,30,58,1.95,1.98,1.95,3.38,3.41,3.38,4.76,4.83,4.76,8.71,8.85,8.71,8.68,8.84,8.68,1.84,1.92,1.92,1,1,"Onder 13","2009-01"
"540",1616,160.2,121.6,81.7,43.6,NA,24,19,16,59,48,44,92,30,29,59,24,30,54,2.16,2.09,2.09,3.74,3.69,3.69,5.29,5.27,5.27,9.04,8.84,8.84,8.91,9.09,8.91,1.82,1.94,1.94,1,1,"Onder 13","2009-01"
"541",1617,161.5,121.9,82,48.2,NA,24,24,20,68,46,52,98,28,30,58,28,18,46,2.13,2.37,2.13,3.69,3.97,3.69,5.27,5.55,5.27,8.79,8.76,8.76,8.79,8.71,8.71,1.47,1.9,1.9,1,1,"Onder 13","2009-01"
"542",1752,158.2,125.5,83.4,44.5,NA,24,24,13,61,49,50,99,26,30,56,16,20,36,2.09,1.97,1.97,3.56,3.44,3.44,4.96,4.85,4.85,8.56,8.52,8.52,8.46,8.98,8.46,1.8,1.88,1.88,1,1,"Onder 13","2009-01"
"543",1753,152,120,77.9,41.4,NA,24,20,17,61,56,61,117,26,32,58,26,30,56,2.06,2.15,2.06,3.56,3.62,3.56,4.97,5.07,4.97,9.16,8.61,8.61,8.58,8.49,8.49,1.75,1.7,1.75,1,1,"Onder 13","2009-01"
"544",1754,146.5,117,74.9,35.8,NA,24,22,12,58,55,55,110,22,26,48,28,30,58,2,1.97,1.97,3.53,3.49,3.49,5,4.93,4.93,8.8,8.73,8.73,8.71,8.73,8.71,1.63,1.72,1.72,1,1,"Onder 13","2009-01"
"545",1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-01"
"546",1894,159.2,119.9,78.5,45.4,NA,20,16,16,52,49,50,99,26,29,55,32,33,65,2.15,2.1,2.1,3.74,3.69,3.69,5.27,5.24,5.24,9.55,9.31,9.31,9.34,9.35,9.34,1.81,1.73,1.81,1,1,"Onder 13","2009-01"
"547",1895,149,117,75.6,39.2,NA,24,16,16,56,52,54,106,NA,26,26,32,33,65,2.14,2.23,2.14,3.76,3.81,3.76,5.29,5.37,5.29,9.1,9.09,9.09,9.33,9.08,9.08,1.65,1.54,1.65,1,1,"Onder 13","2009-01"
"548",1896,140.5,112.9,71.5,33.1,NA,24,18,8,50,56,62,118,32,36,68,24,28,52,2.27,2.08,2.08,3.85,3.72,3.72,5.49,5.28,5.28,9.55,9.14,9.14,9.65,9.35,9.35,1.71,1.73,1.73,1,1,"Onder 13","2009-01"
